NAME,DATA_TYPE,CATDESC,DEPEND_0,DEPEND_1,DEPEND_2,DEPEND_3,VAR_TYPE,RECORD_VARYING,DISPLAY_TYPE,VARIABLE_PURPOSE,FIELDNAM,FORMAT,LABLAXIS,UNITS,VALIDMIN,VALIDMAX,FILLVAL,LABL_PTR_1,LABL_PTR_2,LABL_PTR_3,UNIT_PTR,SCALE_TYP,SCAL_PTR,VAR_NOTES,TIME_BASE,TIME_SCALE,LEAP_SECONDS_INCLUDED,ABSOLUTE_ERROR,AVG_TYPE,BIN_LOCATION,DELTA_PLUS_VAR,DELTA_MINUS_VAR,DERIVN,DICT_KEY,MONOTON,SCALEMIN,SCALEMAX,REFERENCE_POSITION,RELATIVE_ERROR,RESOLUTION,SI_CONVERSION
halo_heat_flux_phi_integrated,CDF_REAL4,Halo Heat Flux Phi Integrated,epoch,,,,data,RV,time_series,"PRIMARY_VAR,SUMMARY",Halo Heat Flux phi Integrated,F15.3,Halo Heat Flux Phi Integrated,,0,10000000000,-1.00E+31,,,,,,,,,,,,,,,,,,,,,,,,
total_heat_flux_magnitude_integrated,CDF_REAL4,Total Heat Flux Magnitude Integrated,epoch,,,,data,RV,time_series,"PRIMARY_VAR,SUMMARY",Total Heat Flux Magnitude Integrated,F15.3,Total Heat Flux Magnitude Integrated,,0,10000000000,-1.00E+31,,,,,,,,,,,,,,,,,,,,,,,,
total_heat_flux_theta_integrated,CDF_REAL4,Total Heat Flux Theta Integrated,epoch,,,,data,RV,time_series,"PRIMARY_VAR,SUMMARY",Total Heat Flux theta Integrated,F15.3,Total Heat Flux Theta Integrated,,0,10000000000,-1.00E+31,,,,,,,,,,,,,,,,,,,,,,,,
total_heat_flux_phi_integrated,CDF_REAL4,Total Heat Flux Phi Integrated,epoch,,,,data,RV,time_series,"PRIMARY_VAR,SUMMARY",Total Heat Flux phi Integrated,F15.3,Total Heat Flux Phi Integrated,,0,10000000000,-1.00E+31,,,,,,,,,,,,,,,,,,,,,,,,
core_temperature_parallel_to_mag,CDF_REAL4,Core Temperature Parallel To Mag,epoch,,,,data,RV,time_series,"PRIMARY_VAR,SUMMARY",Core t Parallel to Mag,F15.3,Core Temperature Parallel To Mag,K,0,10000000000,-1.00E+31,,,,,,,,,,,,,,,,,,,,,,,,
halo_temperature_parallel_to_mag,CDF_REAL4,Halo Temperature Parallel To Mag,epoch,,,,data,RV,time_series,"PRIMARY_VAR,SUMMARY",Halo t Parallel to Mag,F15.3,Halo Temperature Parallel To Mag,K,0,10000000000,-1.00E+31,,,,,,,,,,,,,,,,,,,,,,,,
total_temperature_parallel_to_mag,CDF_REAL4,Total Temperature Parallel To Mag,epoch,,,,data,RV,time_series,"PRIMARY_VAR,SUMMARY",Total t Parallel to Mag,F15.3,Total Temperature Parallel To Mag,K,0,10000000000,-1.00E+31,,,,,,,,,,,,,,,,,,,,,,,,
core_temperature_perpendicular_to_mag,CDF_REAL4,Core Temperature Perpendicular To Mag,epoch,,,,data,RV,time_series,"PRIMARY_VAR,SUMMARY",Core t Perpendicular to Mag,F15.3,Core Temperature Perpendicular To Mag,K,0,10000000000,-1.00E+31,,,,,,,,,,,,,,,,,,,,,,,,
halo_temperature_perpendicular_to_mag,CDF_REAL4,Halo Temperature Perpendicular To Mag,epoch,,,,data,RV,time_series,"PRIMARY_VAR,SUMMARY",Halo t Perpendicular to Mag,F15.3,Halo Temperature Perpendicular To Mag,K,0,10000000000,-1.00E+31,,,,,,,,,,,,,,,,,,,,,,,,
total_temperature_perpendicular_to_mag,CDF_REAL4,Total Temperature Perpendicular To Mag,epoch,,,,data,RV,time_series,"PRIMARY_VAR,SUMMARY",Total t Perpendicular to Mag,F15.3,Total Temperature Perpendicular To Mag,K,0,10000000000,-1.00E+31,,,,,,,,,,,,,,,,,,,,,,,,
core_temperature_ratio_perpendicular_to_mag,CDF_REAL4,Ratio of Core Temperatures Perpendicular To Mag,epoch,,,,data,RV,time_series,"PRIMARY_VAR,SUMMARY",Core T Ratio Perpendicular to Mag,F15.3,Core T Ratio,,0,10000000000,-1.00E+31,,,,,,,,,,,,,,,,,,,,,,,,
halo_temperature_ratio_perpendicular_to_mag,CDF_REAL4,Ratio of Halo Temperatures Perpendicular To Mag,epoch,,,,data,RV,time_series,"PRIMARY_VAR,SUMMARY",Halo T Ratio Perpendicular to Mag,F15.3,Halo T Ratio,,0,10000000000,-1.00E+31,,,,,,,,,,,,,,,,,,,,,,,,
total_temperature_ratio_perpendicular_to_mag,CDF_REAL4,Ratio of Total Temperatures Perpendicular To Mag,epoch,,,,data,RV,time_series,"PRIMARY_VAR,SUMMARY",Total T Ratio Perpendicular to Mag,F15.3,Total T Ratio,,0,10000000000,-1.00E+31,,,,,,,,,,,,,,,,,,,,,,,,
energy_label,CDF_CHAR,Label for energy bins,,,,,metadata,NRV,,,Energy Label,a20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitch_angle_label,CDF_CHAR,Label for pitch angle bins,,,,,metadata,NRV,,,Pitch Angle Label,a20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gyrophase_label,CDF_CHAR,Label for gyrophase bins,,,,,metadata,NRV,,,Gyrophase Label,a20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rtn_label,CDF_CHAR,Label for rtn,,,,,metadata,NRV,,,Rtn Label,a20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
temperature_tensor_label,CDF_CHAR,Label for temperator tensor,,,,,metadata,NRV,,,Temperature Tensor Label,a20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tensor_id,CDF_UINT1,Tensor Id,,,,,support_data,NRV,no_plot,,Tensor Id,I4,Tensor Id,,0,255,255,,,,,,,,,,,,,,,,,,,,,,,,
