TOF Bit,E/n (MeV/n),E/n Lower (MeV/n),E/n Upper (MeV/n)
1001,375.1261822,354.9684197,396.4286534
1002,418.9408382,396.4286534,442.7314332
1003,467.8730363,442.7314332,494.4423677
1004,522.5205045,494.4423677,552.193128
1005,583.550785,552.193128,616.6891644
1006,651.7093889,616.6891644,688.7183237
1007,727.8289028,688.7183237,769.1604731
1008,812.8391593,769.1604731,858.998248
1009,907.7785951,858.998248,959.3290552
1010,1013.806936,959.3290552,1071.378479
1011,1132.219364,1071.378479,1196.51525
1012,1264.462338,1196.51525,1336.26797
1013,1412.151262,1336.26797,1492.343776
1014,1577.090221,1492.343776,1666.649202
1015,1761.294013,1666.649202,1861.313464
1016,1967.012768,1861.313464,2078.714469
1017,2196.759428,2078.714469,2321.507864
1018,2453.340449,2321.507864,2592.659474
1019,2739.890076,2592.659474,2895.481533
1020,3059.908637,2895.481533,3233.673142
1021,3417.305295,3233.673142,3611.365456
1022,3816.445805,3611.365456,4033.172151
1023,4262.20584,4033.172151,4504.245775
